USAGE_DATE,STORAGE_BYTES,STAGE_BYTES,FAILSAFE_BYTES,HYBRID_TABLE_STORAGE_BYTES,ARCHIVE_STORAGE_COOL_BYTES,ARCHIVE_STORAGE_COLD_BYTES,ARCHIVE_STORAGE_RETRIEVAL_TEMP_BYTES
2026-09-14,143330147386217,65102984440,547956922382,0,0,0,0
2026-09-13,143205733903953,65102984440,553668502753,0,0,0,0
2026-09-12,143083484534476,65103163138,547236807123,0,0,0,0
2026-09-11,142965315201887,65106042243,553519091459,0,0,0,0
2026-09-10,142869476781341,65105969223,540037431354,0,0,0,0
2026-09-09,142749052301173,65107596202,592595046215,0,0,0,0
2026-09-08,142635956037114,65356687669,695711371688,0,0,0,0
2026-09-07,142515864454396,65364986635,743081935565,0,0,0,0
2026-09-06,142376456731834,65364966997,755562964436,0,0,0,0
2026-09-05,142232163900672,65365163909,844757700558,0,0,0,0
2026-09-04,142131587857038,65365053381,942470577199,0,0,0,0
2026-09-03,142010529599736,65364653353,951264100634,0,0,0,0
2026-09-02,141954903036862,65364517743,897250325416,0,0,0,0
2026-09-01,141851480179171,65364261081,860867648082,0,0,0,0
