SERVICE_TYPE,USAGE_DATE,CREDITS_USED_COMPUTE,CREDITS_USED_CLOUD_SERVICES,CREDITS_USED,CREDITS_ADJUSTMENT_CLOUD_SERVICES,CREDITS_BILLED
AUTO_CLUSTERING,2026-06-16,0.001528708,0.000000000,0.001528708,0.0000000000,0.0015287080
CORTEX_CODE_SNOWSIGHT,2026-06-16,0.384603610,0.000000000,0.384603610,0.0000000000,0.3846036100
PIPE,2026-06-16,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
TELEMETRY_DATA_INGEST,2026-06-16,0.000061242,0.000000000,0.000061242,0.0000000000,0.0000612420
TRUST_CENTER,2026-06-16,0.789218432,0.000000000,0.789218432,0.0000000000,0.7892184320
WAREHOUSE_METERING,2026-06-16,71.310833288,2.488908611,73.799741899,-2.4889086110,71.3108332880
AUTO_CLUSTERING,2026-06-17,0.001727567,0.000000000,0.001727567,0.0000000000,0.0017275670
PIPE,2026-06-17,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
TELEMETRY_DATA_INGEST,2026-06-17,0.000006484,0.000000000,0.000006484,0.0000000000,0.0000064840
TRUST_CENTER,2026-06-17,0.850511339,0.000000000,0.850511339,0.0000000000,0.8505113390
WAREHOUSE_METERING,2026-06-17,73.031388848,2.649581999,75.680970847,-2.6495819990,73.0313888480
AI_FUNCTIONS,2026-06-18,0.303958800,0.000000000,0.303958800,0.0000000000,0.3039588000
AI_INFERENCE,2026-06-18,0.049969500,0.000000000,0.049969500,0.0000000000,0.0499695000
AI_SERVICES,2026-06-18,1.876000000,0.000000000,1.876000000,0.0000000000,1.8760000000
AUTO_CLUSTERING,2026-06-18,0.004463265,0.000000000,0.004463265,0.0000000000,0.0044632650
PIPE,2026-06-18,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_INTELLIGENCE,2026-06-18,0.680870620,0.000000000,0.680870620,0.0000000000,0.6808706200
TELEMETRY_DATA_INGEST,2026-06-18,0.000043578,0.000000000,0.000043578,0.0000000000,0.0000435780
TRUST_CENTER,2026-06-18,0.837880059,0.000000000,0.837880059,0.0000000000,0.8378800590
WAREHOUSE_METERING,2026-06-18,75.859166617,2.804096042,78.663262659,-2.8040960420,75.8591666170
